"country","CO2","UNNC","UCAC","GCCP","OR","DGCC","DOCC"
"Jamaica",2.739,17.23,0.0733,102.26,0,0.00322336633699413,-0.135813390737078
"Japan",8.989,83.57,0.0347,97.26,0.00106198340904378,0.082352797958882,0.408019947768677
"Jordan",2.535,71.19,0.0281,81.54,0.000993258609415039,0.0516989609703715,-0.400644205433393
"Kazakhstan",17.319,2.71,1.631,112.77,15.6114651371934,0.0820581772549847,-0.101887203134303
"Kenya",0.351,18.77,0.1232,102.04,0.00504107702605338,0,-0.77772437949237
"Kuwait",23.101,178.57,0.0034,90.5,45.1216846929565,0.509703523804695,3.52581043241895
"Latvia",4.076,57.21,0.6757,73.01,0,0.0713942845063887,-0.090338277859912
"Lebanon",3.871,62.33,0.0396,110.09,0,0,0.179270112330952
"Libya",7.99,7.37,0.307,96.37,42.4708271366993,0.0679297512577913,0.558305900870713
"Lithuania",4.889,74.12,0.7679,77.61,0.0334291574853369,0.0799090768174969,0.167699549910371
"Luxembourg",15.835,204.76,0.1054,96.46,0,0.123714355880474,3.57034294276596
"Madagascar",0.159,7.97,0.1371,94.42,0.145433336368669,0,-0.851096905539045
"Malawi",0.086,23.18,0.2094,105.98,0,0,-0.860695194731916
"Malaysia",8.634,46.69,0.2628,99.01,2.88759408253797,0.117205399828724,0.0834572511528049
"Maldives",3.375,75.2,0.0105,89.66,0,0,0.0963410626893862
"Mali",0.192,15.7,0.3439,113.96,0,0,-0.83113798949701
"Malta",3.502,56.43,0.0236,60.99,0,0.0687494940780977,3.74253552111315
"Mauritius",3.562,93.78,0.0623,81.85,0,0,0.249305363899086
"Mexico",3.608,58.91,0.1791,109.51,2.27127886854115,0.0636690422359428,-0.191533473741117
"Mongolia",14.995,30.41,0.4203,99.48,2.33919154107498,0,-0.490169738813553
"Montenegro",3.823,85.99,0.0233,104.66,0,0,-0.326783066171699
"Morocco",1.729,22.15,0.2644,112.5,0.00185811508634421,0.00297941792906695,-0.534121080810858
"Mozambique",0.234,4.46,0.2017,126.14,0.105275901119442,0.00393661489283419,-0.830601377865824
"Myanmar",0.608,21.55,0.2344,96.57,0.212886915708654,0.00847818263129695,-0.765245422097398
"Namibia",1.665,25.13,0.3308,105.54,0,0,-0.41650558396741
"Nauru",5.147,0,0.0375,96.7,0,0,0.625615068867508
"Nepal",0.487,54.72,0.0828,102.68,0,0,-0.792306061274396
"Netherlands",9.322,197.16,0.0621,92.03,0.0222178247378531,0.238228056183849,1.44491579601059
"New Zealand",7.546,62.21,0.1242,97.57,0.0829147037653216,0.0909470177260934,0.696723697226834
"Nicaragua",0.817,26.99,0.2769,112.18,0,0,-0.649485299334028
"Niger",0.083,0.36,0.7938,108.88,1.64020030444725,0,-0.853680390809987
"Nigeria",0.653,10.52,0.2119,104.5,8.84870568166443,0.00915388145155965,-0.778515663297682
"Norway",8.331,126.99,0.151,70.07,5.21241127534779,0.0749168254094462,0.915616486956085
"Oman",12.552,94.44,0.0225,122.65,26.6782668701549,0.478364685219617,1.2280653505109
"Pakistan",1.123,107.87,0.1506,90.99,0.492026170782626,0.0216040992342686,-0.75116282666582
"Panama",2.569,16.99,0.1638,107.53,0,0.00445112427931561,0.775567296319193
"Papua New Guinea",0.745,31.74,0.1162,94.83,2.3460751554751,0.0011019304478055,-0.66817079722355
"Paraguay",1.223,27.6,0.6932,106.92,0,0,-0.52078405897871
"Peru",1.708,41.71,0.1844,107.33,0.326773501052596,0.0230063802140747,-0.533842554159392
"Philippines",1.319,58.46,0.1042,97.52,0.00915416821005933,0.00326263836673042,-0.692905669389787
"Poland",8.887,87.49,0.2996,93.35,0.0519510025419015,0.0517466112549372,-0.108448719994992
"Portugal",5.021,59.02,0.1674,102.51,0,0.053602338902287,0.0897074526093531
"Qatar",38.44,62.5,0.0086,106.37,15.5544381427131,1.29033486013643,3.25687955184243
"Romania",3.979,51.35,0.4679,134.86,0.443053387963737,0.0569700360103424,-0.418316818644728
"Rwanda",0.093,5.39,0.1139,104.25,0,0,-0.850548203982901
"Samoa",1.214,0.43,0.2414,78.95,0,0,-0.42259877661377
"Saudi Arabia",18.454,49.56,0.1067,130.74,29.2983608589016,0.319342111594907,3.04752667114218
"Senegal",0.715,11.05,0.2068,153.41,0,0.000366158402060233,-0.736502047984002
"Serbia",5.028,41.66,0.3167,108.46,0.528302942633086,0.0379851494111907,-0.431793972020543
"Seychelles",5.736,30.16,0.016,99.24,0,0,2.7528053850803
"South Africa",8.032,30.69,0.2148,108.56,0.0050808324285389,0.0080014720775023,-0.376612861180641
"Spain",5.776,61.63,0.3592,120.58,0.00190352739551264,0.0642981840538758,0.345326566951628
"Sri Lanka",0.989,29.02,0.1117,98.23,0,0,-0.631036940774416
