"country","UNNC","UCAC","GCCP"
"United States of America",72.47,0.4905,97.96
"Uruguay",78.95,0.6351,64.7
"Uzbekistan",163.27,0.136,85.26
"Venezuela (Bolivarian Republic of)",43.12,0.1142,84.9
"Viet Nam",136.79,0.1203,101.64
"Yemen",2.49,0.0509,81.68
"Zambia",38.58,0.2211,107.42
"Zimbabwe",12.22,0.284,127.59
"World",69.68,0.2047,101.58
"Africa",15.61,0.22,102.87
"Eastern Africa",14.52,0.1827,100.85
"Middle Africa",2.71,0.2175,95.29
"Northern Africa",35.73,0.2112,102.67
"Southern Africa",30.7,0.2146,108.35
"Western Africa",8.27,0.2688,106.06
"Americas",64.78,0.3665,100.66
"Northern America",72.23,0.5471,98.7
"Central America",60.99,0.1727,106.72
"Caribbean",27.8,0.1528,99.03
"South America",55.87,0.3131,101.65
"Asia",108.1,0.1296,102.48
"Central Asia",31.44,0.5371,97.02
"Eastern Asia",199.85,0.0874,102.64
"Southern Asia",97.42,0.1266,103.25
"South-eastern Asia",64.15,0.1872,103.68
"Western Asia",50.97,0.1626,100.23
"Europe",50.4,0.3862,101.04
"Eastern Europe",31.01,0.6721,105.85
"Northern Europe",109.33,0.1791,80.48
"Southern Europe",61.1,0.243,108.26
"Western Europe",117.03,0.1791,90.37
"Oceania",44.75,0.8057,98.8
"Australia and New Zealand",45.39,1.076,99.42
"Melanesia",30.69,0.131,95.93
"Micronesia",0,0.1345,103.2
"Polynesia",3.1,0.1829,90.02
"European Union (27)",87.45,0.2495,99.11
"Least Developed Countries",17.37,0.2027,101.2
"Land Locked Developing Countries",20,0.2937,100.69
"Small Island Developing States",31.59,0.1403,97.96
"Low Income Food Deficit Countries",59.24,0.1575,104.33
"Net Food Importing Developing Countries",33.75,0.1833,100.13
