Time,Time Code,Country Name,Country Code,Agricultural land (% of land area) [AG.LND.AGRI.ZS],Electricity net consumption [CC.ELEC.CON],Electricity net generation [CC.ELEC.GEN],Emission Totals - Direct emissions (N2O) - AFOLU [CC.DEN.AFO],Emission Totals - Emissions (CH4) - AFOLU [CC.ECH.AFO],Coal rents (% of GDP) [NY.GDP.COAL.RT.ZS],GDP per capita (current US$) [NY.GDP.PCAP.CD],Oil rents (% of GDP) [NY.GDP.PETR.RT.ZS],Mineral rents (% of GDP) [NY.GDP.MINR.RT.ZS],Passenger volume by mode (billion tons-km) - Air transport [CC.PSVOL.MOD.AI],Passenger volume by mode (billion tons-km) - Rail transport [CC.PSVOL.MOD.RA],Passenger volume by mode (billion tons-km) - Road transport [CC.PSVOL.MOD.RO],Per capita daily coal consumption (short tons per capita per day) [CC.EG.CONS.COAL.PC],Per capita daily gas consumption (thousand cubic feet per capita per day) [CC.EG.CONS.GAS.PC],Per capita daily oil consumption (barrels per capita per day) [CC.EG.CONS.OIL.PC],Share of surface occupied by forest (% of total) [AG.LND.FRST.ZS]
2018,YR2018,Benin,BEN,35.0301525363604,1.187964,0.19028,5.6341,122.8418,0,1241.8252980053,0.130486480076081,0,..,1005624.2856,10722229533.657,0,0.000160608087534379,0.00403949862607787,28.6905817665839
2018,YR2018,Bermuda,BMU,5.55555555555556,0.5645,0.602,0.0005,0,0,113050.73688163,0,0,..,555028.05769,1118136936.6099,0,0,0.0815782965854578,18.5185185185185
2018,YR2018,Bhutan,BTN,13.4504457262716,2.385702,6.890702,0.276,16.1479,0,3243.47743748718,0,0.0696622256757227,408355902,5749253632,695546830.66907,0.000747887070093564,0,0.00528984036988629,71.3455689564761
2018,YR2018,Bolivia,BOL,34.8259946459891,8.31972,9.41472,19.5658,791.241,0,3548.59078021899,1.49154806553392,1.21093092611937,3130648799.33609,337490.0589,24548984033.1709,0,0.0272867956512325,0.00790358721358417,47.3121388350411
2018,YR2018,Bosnia and Herzegovina,BIH,43.18359375,12.25308,18.20808,2.346,59.3593,0.312653195241099,6070.35298018619,0,0.156454833174298,..,40000000,1661000000,0.00638112711127795,0.00659616226739953,0.0103748321578024,42.7326171875
2018,YR2018,Botswana,BWA,45.6330174862809,3.30076,2.96976,2.2048,96.7135,0.466301315966638,7503.8785883646,0,0.0626737629280858,106022000,25964039.42948,15166759189.7613,0.00332714996289483,0,0.00940388170257563,27.3345331992307
2018,YR2018,Brazil,BRA,28.3410903622098,528.09132,591.08532,423.0349,13283.1524,0.00677201259846744,9151.38173161536,2.0159800649676,0.879598680124168,134841080950,31156662370.7881,963486201878.674,6.97519409580838E-05,0.0164355471089936,0.0146226655526707,59.7084279516735
2018,YR2018,British Virgin Islands,VGB,46.6666666666667,0.114858,0.137858,..,0,..,..,..,..,..,139973042.63281,230755400.38438,..,..,..,24.1333333333333
2018,YR2018,Brunei Darussalam,BRN,2.5426944971537,3.55548,4.03648,0.1672,0.7462,0,31628.4762566009,11.6521961978427,0,3919883000,7215399702.83641,53134326.17216,0,0.919889274606372,0.0368648606526759,72.1062618595825
2018,YR2018,Bulgaria,BGR,46.3338246131172,32.273746,43.18263,8.1344,70.3835,0.131365017515055,9446.70077185518,0.0226288279568553,0.270433456826085,1562405490,1479000000,8588000000,0.0130098999795645,0.0431003611873923,0.0132060563943678,35.6208548268239
2018,YR2018,Burkina Faso,BFA,44.3823099415205,2.0324,1.6074,21.9967,558.2727,0,804.500537821516,0,3.65248145752075,121914770,6408690.54537,15056632566.7052,0,0,0.00104049026104553,23.0862573099415
2018,YR2018,Burundi,BDI,79.1666666666667,0.35090284,0.268878,2.9258,63.529,0,238.034309554717,0,0,..,18337395.1042,3569962076.75818,0,0,0.000272925658281984,10.8894080996885
2018,YR2018,Cabo Verde,CPV,19.6029776674938,0.42691262,0.459059,0.1043,2.1391,13.7751921471315,3616.46066604314,0,0,444788240,2458580.93517,2082248999.26793,..,..,..,11.1960297766749
2018,YR2018,Cambodia,KHM,32.2399728076139,8.40457,7.92457,7.8257,751.3129,0.0045113395071367,1512.12698889384,0,0,2275334720,23295751793.8895,14491652949.8639,0,0,0.00339891938500405,47.4719578518015
2018,YR2018,Cameroon,CMR,20.6257536333058,6.49483,8.28083,11.7111,295.2466,0,1585.24053445546,3.01562742741433,0,143316960,10414162.57672,33017431159.7764,0,0.00420821378125509,0.00140016437473715,43.2664424277041
2018,YR2018,Canada,CAN,6.49170885574736,554.720418,637.02776,72.0664,1027.4465,0.0884379565394914,46548.6384108296,1.78050653634303,0.12544733023969,224308000000,1598000000,882294533151.156,0.00491211432192853,0.32595701794312,0.0681286354540102,38.7037629425392
2018,YR2018,Cayman Islands,CYM,11.25,0.618165,0.658165,..,0,0,86180.5396948445,0,0,..,4314300.13251,1047044053.15613,0,0,0.0703067132109577,53.375
2018,YR2018,Central African Republic,CAF,8.15435487495586,0.14043,0.151,7.9521,731.056,0,475.953813864813,0,0.0556825136617355,..,4603737.25064,1636984047.4304,0,0,0.000611011703276439,35.8968185174484
2018,YR2018,Chad,TCD,39.8967598475222,0.18664,0.29664,58.0931,1867.5235,0,726.151007088549,20.4861954431785,0,..,16238449.82704,7317427376.03095,0,0,0.000444655374625801,3.60149301143583
2018,YR2018,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2018,YR2018,Chile,CHL,21.1087081658893,75.584284,79.09572,11.8372,216.9705,0.0137068301646528,15772.333484425,0.0150647720762657,4.92007450752783,36806563583,676509974,69713628107.654,0.000363879636148358,0.027859805076646,0.0194045080505479,24.161529026323
2018,YR2018,China,CHN,56.077067426709,6452.118661,6801.93262,780.3008,13298.7885,0.573020795816659,9905.34200389253,0.433930309335748,0.202855915823378,1167406085879.33,1319895190244.92,6183373378391.28,0.00801825481452661,0.0194678413589787,0.00997143554361401,22.9417353835101
2018,YR2018,Colombia,COL,44.6074808472285,70.1992,78.2482,47.3269,1778.9535,0.726566529122859,6729.58333198168,3.87765027642574,0.14612250822605,36063347943,544409722.20492,178158067332.784,0.00512553867134289,0.0216058259622777,0.00678462724241421,53.6642451554754
2018,YR2018,Comoros,COM,70.3922622246104,0.086848,0.092896,0.1218,10.1532,0,1428.29046324322,0,0,..,7.33262,567662527.69541,0,0,0.00187573315687919,18.1622783449758
2018,YR2018,"Congo, Dem. Rep.",COD,14.7963212103835,8.58732,10.46932,4.3397,943.2221,0,565.829542895849,0.928355836725736,8.01142761711166,1136038376.99019,18450952.90518,72063733346.5522,0,0,0.00020709729179648,56.6189497364416
2018,YR2018,"Congo, Rep.",COG,31.1215226939971,1.72561,3.10761,0.6203,68.9547,0,2606.61552601515,42.3230006896441,0,428063110.944,7162051.51299,11115897698.4467,0,0.0256441727403178,0.0023116901834891,64.3513909224012
2018,YR2018,Cook Islands,COK,6.25,0.03880797,0.041729,0.0026,0.2832,..,..,..,..,29831767.91,3330572.8,87445987.2,..,..,..,64.9583333333333
2018,YR2018,Costa Rica,CRI,34.9099099099099,10.063571,11.40603,3.8438,102.077,0,12485.4238961667,0,0,3346415886.036,9858384.16249,67619312834.989,0,0,0.0120384232800898,58.7961222091657
2018,YR2018,Cote d'Ivoire,CIV,66.6666666666667,6.62922,9.55722,5.001,124.8097,0,2314.05095836881,1.0078048653789,0.455348393490338,867908832,47752874.11666,32043912087.2857,0,0.00769759514988051,0.00207425605310798,9.63044025157233
2018,YR2018,Croatia,HRV,26.5170466728611,16.771772,13.208772,2.9539,52.7336,0,15227.5600968096,0.329616811853371,0.000304387830390035,1520730530,756000000,30962000000,0,0.0652618444428034,0.017371843748161,34.5598956472018
2018,YR2018,Cuba,CUB,60.6936416184971,16.34166,19.63126,7.7199,299.3283,0,8824.19400843842,0.643466631284228,0.251283638231141,912519806.666,11735424.77048,85519042304.6569,0,0.00832969457377768,0.0139984715955764,31.233140655106
2018,YR2018,Curacao,CUW,..,..,..,..,..,0,18956.0979142963,..,0,..,339729.41331,1687690371.32344,..,..,..,0.157657657657658
2018,YR2018,Cyprus,CYP,14.2734523809524,4.626833,4.78502,0.4746,7.1899,0,29334.111328125,0,0.00374496609187091,498979000,2379046.32527,15216617910.6536,0,0,0.0447116842571523,18.6764069264069
2018,YR2018,Czech Republic,CZE,45.628804558995,63.802817,81.9802,8.4285,116.6447,0.130304403778705,23419.7356136502,0.0133954959412476,0,9667782540,10286019000,88921400000,0.0123789710244303,0.0752715437663295,0.0204049727335877,34.6259551871519
2018,YR2018,Denmark,DNK,65.8125,32.97458,29.83758,7.8765,241.6573,0,61591.9288698958,0.487437286171954,0,940442808.33717,6560000000,66544317600,0,0.0494657003763705,0.0278297801242605,15.664
2018,YR2018,Djibouti,DJI,73.4253666954271,-0.05948,0.05552,0.6341,18.648,0,3038.26973815945,0,0,..,2501201.89145,1166197884.35802,0,0,0.00486430510584825,0.243313201035375
2018,YR2018,Dominica,DMA,33.3333333333333,0.058057,0.064178,0.0258,1.0292,0,7745.37696325874,0,0,..,72.57006,1186768352,0,0,0.0171736278673648,63.8266666666667
2018,YR2018,Dominican Republic,DOM,50.2794452494308,16.06696,18.61596,7.5176,251.4999,0,8050.64407623416,0,0.832348886568165,..,82355883.96534,100893034813.372,0,0.0115032066600527,0.0134330227080433,44.0471951976816
2018,YR2018,Ecuador,ECU,21.9358995007248,24.604748,28.54474,10.7021,322.0384,0,6295.93466163992,7.16632924901327,0,5996030750,103174628.58548,74109375571.8082,0,0.00197347956523371,0.0153782720889618,50.8389837332904
2018,YR2018,"Egypt, Arab Rep.",EGY,3.88065698930132,145.004464,177.831464,38.9241,527.1179,0,2537.12518504712,5.55964360057668,0.0678077867996193,25737067244.0145,1845039011.01494,337431348669.575,0,0.0578540999378235,0.00798813606120718,0.0451855944547692
2018,YR2018,El Salvador,SLV,57.707528957529,6.218,5.287,2.3794,56.7201,0,4052.62477533742,0,0,5162202060,827502.71716,77768981587.5668,0,0,0.00785507910840154,28.6138996138996
2018,YR2018,Equatorial Guinea,GNQ,6.81212121212121,1.36894,1.53894,0.0233,0.4667,0,10005.6160423267,23.0230672139861,0,295872160.07189,24277.82632,6313639416.3294,0,0.0820462187356568,0.0077397437135497,87.8837789661319
2018,YR2018,Eritrea,ERI,62.7035294042634,0.3813,0.4403,4.2239,119.4243,..,..,..,..,100845764.64704,240654.5063,2364733160.80898,..,..,..,8.76775721087697
2018,YR2018,Estonia,EST,23.0409356725146,9.10156,11.74256,1.1503,25.5817,0,23063.5638175675,0.356249631748285,0,9882100,417000000,2924000000,0,0.0369619295699723,0.0228590799991225,57.0385964912281
2018,YR2018,Eswatini,SWZ,71.046511627907,1.537008,0.712208,0.9674,24.6528,0.141731024412061,4107.09443109307,0,0,..,293.79938,8094979941.64931,..,..,..,28.7872093023256
2018,YR2018,Ethiopia,ETH,33.5852342867904,8.83892,13.47992,110.8466,2753.0782,9.42797235746874E-05,771.524866349431,0,0.0361203941246132,42558923590,397991824.74853,33969699865.9417,0,0,0.000774495142718773,15.2534895820899
2018,YR2018,Faroe Islands,FRO,69.0078796561605,0.3168,0.3398,0.0187,0.7338,..,65572.6075305846,0,0,..,377414368,313610393.6,..,..,..,0.0573065902578797
2018,YR2018,Fiji,FJI,17.1592775041051,0.985916,1.071916,0.3514,11.5884,0,6317.41372301725,0,0.324147005401683,5909271510,334155969.18984,2680423813.89773,0,0,0.0182485923362574,61.6672140120416
2018,YR2018,Finland,FIN,7.47565148723348,84.94732,68.03532,3.942,85.8558,0,49988.9108461845,0,0.110955133727335,34854984690,4534000000,74800000000,0,0.0455472272644099,0.0384006960352822,73.7332192682285
2018,YR2018,France,FRA,52.3417653321937,449.9569,551.5439,71.8627,1664.4171,0,41592.795896432,0.00837614758843157,3.05043163143086E-05,201954980000,107920000000,815582000000,0,0.0577768591541533,0.0252062817273361,31.2044225532684
2018,YR2018,French Polynesia,PYF,13.6848170556036,0.54362499,0.584543,0.0293,1.0813,..,22094.7574631942,..,..,..,31229500.85486,820066863.61001,0,0,0.0241070421313819,43.0596369922213
2018,YR2018,Gabon,GAB,8.58710754065277,2.22529,2.16829,0.3105,7.8941,0,7959.00726736376,20.0786791737458,0.00516331617131155,..,1949521.78489,9230167420.95267,0,0.016637313438962,0.0083139830547504,91.4128924593472
2018,YR2018,"Gambia, The",GMB,59.7826086956522,0.244,0.3131,0.7982,30.0013,0,732.720727318856,0,0,40142819.42528,180473.09196,2875544262.28056,0,0,0.00167208333135974,25.1126482213439
2018,YR2018,Georgia,GEO,34.1660670600086,11.9561,11.9221,2.648,44.0027,0.00548551003377816,4722.0424231414,0.05153740022481,0.333754350076575,1039669300,79746520.75305,20535576648.592,0.000112646796867337,0.058638078006999,0.00791800379503308,40.6159159591308
2018,YR2018,Germany,DEU,47.6415364359723,535.3849,610.7819,46.7537,1304.7692,0.0176373739472102,47973.6076235097,0.0157707639858321,0,242053891260.194,98000000000,1015421000000,0.00615691288832735,0.108585587181098,0.0281413027742745,32.6836109680005
2018,YR2018,Ghana,GHA,55.4062582403094,11.309867,14.313867,7.972,214.3037,0,2260.86056729337,4.49105418701517,1.7622317149367,162973100,54649088.85226,34281934694.0176,0,0.00509926520974688,0.00311244301587041,35.0323459611497
2018,YR2018,Gibraltar,GIB,..,0.195573,0.2021,..,0,..,..,..,..,..,157305971.2064,350395654.95535,..,..,..,0
2018,YR2018,Greece,GRC,46.1108642358417,51.35728,50.32128,7.2562,156.1803,0.0347673688683977,19756.990456255,0.0289174335285405,0.0307880622145867,14141438532.6,1104000000,100293809048.935,0.0102672493458095,0.0435414467811124,0.0278261508884566,30.2699767261443
2018,YR2018,Greenland,GRL,0.592301132902911,0.49552,0.51252,..,0,0,54545.2999786248,0,0,..,433990592,360153896,0,0,0.0723536351784089,0.000535997076379583
2018,YR2018,Grenada,GRD,23.5294117647059,0.198495,0.217495,0.0138,0.4012,0,10466.8822111958,0,0,..,2022857.93004,1735155427.46797,0,0,0.0196138163339095,52.0588235294118
2018,YR2018,Guam,GUM,29.6296296296296,1.638962,1.723962,0,0.0001,0,36556.6749110213,0,0,..,611457.72059,1452614058.12388,0,0,0.0693327462773273,51.8518518518518
2018,YR2018,Guatemala,GTM,35.9835759611795,10.617888,13.74999,9.3374,253.0033,0,4478.42464550944,0.195061191816103,0.195962559735371,95766580,7114725.42296,150336707280.542,0,0,0.00620636240340926,33.1373646883165
2018,YR2018,Guinea,GIN,59.0102555754517,1.207224,1.494324,12.4555,538.7078,0,955.111281136711,0,7.20010876801752,..,103813.23909,8226112849.051,0,0,0.0015980981500635,25.5127787725867
2018,YR2018,Guinea-Bissau,GNB,28.9868421052632,0.07568,0.08168,1.4337,50.4262,0,802.767385116156,0,0,..,107.66542,1529035663.4784,0,0,0.00118077488092945,71.0131578947368
2018,YR2018,Guyana,GUY,6.35636271272543,0.8554,1.0904,0.8883,53.6255,0,6145.81927664377,0,2.27853655798673,10663019.0712,710594.87389,1683873591.49105,0,0,0.0196844564252886,93.6436372872746
2018,YR2018,Haiti,HTI,66.7634252539913,0.361442,0.99515,3.354,125.5407,0,1479.3458268885,0,0,..,14227600.94874,98633974742.2293,0,0,0.00210020827696154,12.8272859216255
2018,YR2018,Honduras,HND,31.3790329788185,6.68304,9.29304,6.1891,188.3916,0,2510.32294304191,0,0.000179595571147166,95497579.68653,1157715.47461,81077078250.9507,0,0,0.0067371130077284,57.2094020913397
